2018 Testbeam Scan3 timing data
 Module1    Module2    Module3    Module4    Module5
   2.227,     6.784,     7.541,    -9.315,    -2.182
   3.242,     7.452,     8.634,    -8.671,    -1.285
   4.479,     8.494,     9.608,    -7.248,    -0.328
   5.593,     9.537,    10.601,    -6.564,     0.620
   6.507,    10.377,    11.594,    -5.520,     1.620
   7.558,    11.441,    12.586,    -4.628,     2.737
   8.647,    12.407,    13.579,    -3.429,     3.655
   9.438,    13.368,    14.572,    -2.596,     4.802
  10.608,    14.327,    15.565,    -1.249,     5.711
  11.235,    15.419,    16.558,    -0.632,     6.911
  12.228,    16.322,    17.551,     0.677,     7.777
  13.221,    17.492,    18.544,     1.466,     8.934
  14.213,    18.170,    19.536,     2.804,     9.993
  15.206,    19.322,    20.529,     3.338,    10.992
  16.199,    20.315,    21.522,     4.257,    11.898
  17.192,    21.308,    22.515,     5.448,    13.002
  18.185,    22.301,    23.508,     6.186,    14.049
  19.178,    23.294,    24.500,     7.225,    14.940
  20.170,    24.287,    25.493,     8.516,    15.801
  21.163,    25.279,    26.486,     9.635,    16.741
  22.156,    26.272,    27.479,    10.618,    18.114
  23.149,    27.265,    28.472,    11.433,    19.079
  24.142,    28.258,    29.465,    12.569,    20.045
  25.135,    29.251,    30.457,    13.448,    20.873
  26.128,    30.244,    31.450,    14.609,    21.916
  27.120,    31.236,    32.443,    15.424,    23.295
  28.113,    32.229,    33.436,    16.580,    24.061
  29.106,    33.222,    34.429,    17.238,    25.034
  30.099,    34.215,    35.422,    18.401,    26.011
  31.092,    35.208,    36.415,    19.386,    27.431
  32.084,    36.201,    37.407,    20.319,    27.970
  33.077,    37.193,    38.400,    21.721,    29.298
  34.070,    38.186,    39.393,    22.307,    30.062
  35.063,    39.179,    40.386,    23.284,    31.155
  36.056,    40.172,    41.379,    24.390,    31.982
  37.049,    41.165,    42.372,    25.350,    32.755
  38.041,    42.158,    43.364,    26.105,    33.834
  39.034,    43.151,    44.357,    27.279,    34.838
  40.027,    44.143,    45.350,    28.116,    35.804
  41.020,    45.136,    46.343,    29.344,    37.238
  42.013,    46.129,    47.336,    29.969,    37.973
  43.006,    47.122,    48.329,    31.083,    38.568
  43.998,    48.115,    49.322,    32.224,    39.940
  44.991,    49.108,    50.314,    33.563,    41.034
